Point,Pressure(hPa),Temp(C),Pressure(hPa),Temp(C)
0,1000.220000,20.120000,999.960000,21.440000
30,1000.220000,20.080000,999.960000,21.640000
60,1000.210000,20.060000,999.960000,21.750000
90,1000.220000,20.040000,999.960000,21.810000
120,1000.210000,20.050000,999.960000,21.860000
150,1000.220000,20.070000,999.970000,21.900000
180,1000.230000,20.070000,999.970000,21.920000
210,1000.240000,20.070000,999.980000,21.940000
240,1000.230000,20.110000,999.970000,21.950000
270,1000.220000,20.190000,999.970000,21.990000
300,1000.210000,20.280000,999.950000,22.040000
330,1000.210000,20.380000,999.950000,22.180000
360,1000.190000,20.460000,999.950000,22.380000
390,1000.200000,20.570000,999.940000,22.610000
420,1000.200000,20.630000,999.940000,22.870000
450,1000.190000,20.690000,999.930000,23.130000
480,1000.170000,20.730000,999.920000,23.380000
510,1000.160000,20.790000,999.910000,23.580000
540,1000.160000,20.870000,999.910000,23.810000
570,1000.160000,20.930000,999.920000,24.020000
600,1000.180000,21.000000,999.930000,24.220000
630,1000.180000,21.040000,999.930000,24.380000
660,1000.170000,21.080000,999.910000,24.520000
690,1000.150000,21.120000,999.900000,24.670000
720,1000.140000,21.170000,999.890000,24.790000
750,1000.140000,21.210000,999.890000,24.920000
780,1000.130000,21.260000,999.870000,25.030000
810,1000.120000,21.310000,999.870000,25.120000
840,1000.110000,21.340000,999.860000,25.210000
870,1000.110000,21.380000,999.850000,25.310000
900,1000.100000,21.420000,999.850000,25.370000
930,1000.100000,21.460000,999.840000,25.450000
960,1000.090000,21.490000,999.840000,25.500000
990,1000.100000,21.510000,999.850000,25.550000
1020,1000.100000,21.520000,999.850000,25.590000
1050,1000.090000,21.500000,999.840000,25.660000
1080,1000.080000,21.530000,999.830000,25.720000
1110,1000.080000,21.540000,999.830000,25.760000
1140,1000.090000,21.550000,999.840000,25.830000
1170,1000.090000,21.570000,999.830000,25.860000
1200,1000.090000,21.590000,999.840000,25.930000
1230,1000.070000,21.630000,999.820000,25.970000
1260,1000.070000,21.650000,999.820000,26.000000
1290,1000.080000,21.690000,999.830000,26.050000
1320,1000.080000,21.710000,999.830000,26.030000
1350,1000.060000,21.730000,999.810000,26.080000
1380,1000.050000,21.790000,999.800000,26.100000
1410,1000.040000,21.800000,999.790000,26.120000
1440,1000.030000,21.800000,999.780000,26.170000
1470,1000.020000,21.830000,999.770000,26.200000
1500,1000.020000,21.870000,999.770000,26.230000
1530,1000.020000,21.860000,999.770000,26.250000
1560,1000.020000,21.870000,999.770000,26.250000
1590,1000.010000,21.870000,999.760000,26.280000
1620,1000.000000,21.890000,999.740000,26.300000
1650,999.980000,21.900000,999.730000,26.350000
1680,999.970000,21.910000,999.720000,26.360000
1710,999.970000,21.940000,999.720000,26.370000
1740,999.970000,21.930000,999.710000,26.390000
1770,999.960000,21.940000,999.710000,26.430000
1800,999.950000,21.930000,999.700000,26.420000
1830,999.930000,21.930000,999.690000,26.470000
1860,999.930000,21.940000,999.680000,26.480000
1890,999.920000,21.960000,999.670000,26.480000
1920,999.930000,21.970000,999.680000,26.490000
1950,999.920000,22.000000,999.660000,26.500000
1980,999.900000,21.990000,999.650000,26.510000
2010,999.890000,21.980000,999.650000,26.530000
2040,999.890000,21.980000,999.650000,26.530000
2070,999.890000,22.000000,999.640000,26.510000
2100,999.900000,22.020000,999.640000,26.510000
2130,999.900000,22.030000,999.650000,26.520000
2160,999.910000,22.040000,999.660000,26.550000
2190,999.900000,22.030000,999.660000,26.570000
2220,999.900000,22.040000,999.640000,26.560000
2250,999.890000,22.030000,999.630000,26.540000
2280,999.860000,22.030000,999.600000,26.520000
2310,999.840000,22.020000,999.590000,26.530000
2340,999.840000,22.010000,999.590000,26.530000
2370,999.840000,22.010000,999.590000,26.510000
2400,999.850000,22.000000,999.600000,26.490000
2430,999.860000,22.030000,999.600000,26.500000
2460,999.850000,22.030000,999.600000,26.490000
2490,999.840000,22.040000,999.590000,26.490000
2520,999.840000,22.060000,999.590000,26.470000
2550,999.830000,22.050000,999.580000,26.440000
