Point,Pressure(hPa),Temp(C)
1,996.860000,22.690000
2,996.870000,22.700000
3,996.870000,22.710000
4,996.870000,22.710000
5,996.870000,22.710000
6,996.870000,22.710000
7,996.860000,22.710000
8,996.860000,22.710000
9,996.860000,22.710000
10,996.860000,22.710000
11,996.860000,22.710000
12,996.860000,22.710000
13,996.860000,22.720000
14,996.860000,22.720000
15,996.860000,22.730000
16,996.860000,22.740000
17,996.860000,22.740000
18,996.860000,22.740000
19,996.860000,22.740000
20,996.850000,22.740000
21,996.850000,22.740000
22,996.850000,22.740000
23,996.850000,22.750000
24,996.850000,22.760000
25,996.850000,22.750000
26,996.850000,22.750000
27,996.850000,22.760000
28,996.850000,22.760000
29,996.850000,22.760000
30,996.850000,22.760000
31,996.850000,22.760000
32,996.850000,22.770000
33,996.850000,22.770000
34,996.850000,22.780000
35,996.850000,22.780000
36,996.850000,22.780000
37,996.850000,22.780000
38,996.850000,22.780000
39,996.850000,22.780000
40,996.850000,22.790000
41,996.850000,22.790000
42,996.850000,22.790000
43,996.850000,22.800000
44,996.850000,22.800000
45,996.850000,22.810000
46,996.850000,22.810000
47,996.850000,22.820000
48,996.850000,22.810000
49,996.850000,22.820000
50,996.850000,22.830000
51,996.840000,22.830000
52,996.850000,22.830000
53,996.840000,22.830000
54,996.840000,22.840000
55,996.840000,22.840000
56,996.850000,22.850000
57,996.840000,22.850000
58,996.840000,22.850000
59,996.840000,22.850000
60,996.840000,22.850000
61,996.840000,22.860000
62,996.840000,22.860000
63,996.840000,22.860000
64,996.840000,22.870000
65,996.840000,22.870000
66,996.840000,22.880000
67,996.840000,22.880000
68,996.840000,22.880000
69,996.840000,22.880000
70,996.840000,22.890000
71,996.840000,22.890000
72,996.830000,22.890000
73,996.830000,22.900000
74,996.830000,22.900000
75,996.830000,22.900000
76,996.830000,22.910000
77,996.830000,22.910000
78,996.830000,22.910000
79,996.830000,22.910000
80,996.830000,22.930000
81,996.830000,22.940000
82,996.830000,22.930000
83,996.830000,22.940000
84,996.830000,22.950000
85,996.830000,22.960000
86,996.830000,22.960000
87,996.830000,22.970000
88,996.830000,22.960000
89,996.820000,22.960000
90,996.820000,22.970000
91,996.820000,22.970000
92,996.820000,22.980000
93,996.820000,22.980000
94,996.820000,22.990000
95,996.820000,22.990000
96,996.820000,22.990000
97,996.820000,22.990000
98,996.820000,23.000000
99,996.820000,23.010000
100,996.820000,23.010000
101,996.820000,23.020000
102,996.820000,23.020000
103,996.820000,23.020000
104,996.820000,23.020000
105,996.820000,23.020000
106,996.820000,23.040000
107,996.820000,23.040000
108,996.820000,23.050000
109,996.820000,23.040000
110,996.820000,23.050000
111,996.820000,23.070000
112,996.820000,23.070000
113,996.820000,23.070000
114,996.820000,23.080000
115,996.820000,23.090000
116,996.820000,23.100000
117,996.820000,23.090000
118,996.820000,23.100000
119,996.820000,23.110000
120,996.820000,23.110000
121,996.820000,23.120000
122,996.820000,23.130000
123,996.820000,23.140000
124,996.820000,23.140000
125,996.820000,23.150000
126,996.820000,23.150000
127,996.820000,23.140000
128,996.820000,23.160000
129,996.820000,23.160000
130,996.820000,23.180000
131,996.820000,23.180000
132,996.820000,23.180000
133,996.820000,23.190000
134,996.820000,23.200000
135,996.820000,23.200000
136,996.820000,23.200000
137,996.820000,23.210000
138,996.820000,23.210000
139,996.820000,23.220000
140,996.820000,23.230000
141,996.820000,23.230000
142,996.820000,23.250000
143,996.820000,23.250000
144,996.820000,23.250000
145,996.820000,23.250000
146,996.820000,23.260000
147,996.820000,23.260000
148,996.820000,23.260000
149,996.820000,23.270000
150,996.820000,23.270000
151,996.820000,23.280000
152,996.820000,23.290000
153,996.810000,23.280000
154,996.810000,23.300000
155,996.810000,23.300000
156,996.810000,23.300000
157,996.810000,23.320000
158,996.810000,23.320000
159,996.810000,23.320000
160,996.810000,23.330000
161,996.810000,23.340000
162,996.810000,23.350000
163,996.810000,23.350000
164,996.810000,23.360000
165,996.810000,23.360000
166,996.810000,23.360000
167,996.810000,23.370000
168,996.810000,23.380000
169,996.810000,23.380000
170,996.810000,23.390000
171,996.810000,23.390000
172,996.810000,23.400000
173,996.810000,23.410000
174,996.810000,23.410000
175,996.810000,23.420000
176,996.810000,23.420000
177,996.800000,23.420000
178,996.800000,23.430000
179,996.800000,23.430000
180,996.800000,23.440000
181,996.800000,23.450000
182,996.800000,23.450000
183,996.800000,23.460000
184,996.800000,23.460000
185,996.800000,23.470000
186,996.800000,23.470000
187,996.800000,23.480000
188,996.800000,23.480000
189,996.800000,23.490000
190,996.800000,23.500000
191,996.800000,23.500000
192,996.800000,23.510000
193,996.800000,23.510000
194,996.800000,23.510000
195,996.800000,23.520000
196,996.800000,23.520000
197,996.800000,23.530000
198,996.790000,23.530000
199,996.800000,23.540000
200,996.790000,23.540000
201,996.790000,23.550000
202,996.790000,23.550000
203,996.790000,23.560000
204,996.790000,23.560000
205,996.790000,23.580000
206,996.790000,23.590000
207,996.790000,23.590000
208,996.790000,23.610000
209,996.790000,23.610000
210,996.800000,23.620000
211,996.790000,23.620000
212,996.790000,23.630000
213,996.790000,23.630000
214,996.790000,23.640000
215,996.790000,23.640000
216,996.790000,23.640000
217,996.790000,23.650000
218,996.790000,23.660000
219,996.790000,23.660000
220,996.790000,23.670000
221,996.790000,23.680000
222,996.780000,23.680000
223,996.780000,23.680000
224,996.780000,23.680000
225,996.780000,23.690000
226,996.780000,23.700000
227,996.780000,23.700000
228,996.780000,23.710000
229,996.780000,23.720000
230,996.780000,23.730000
231,996.780000,23.730000
232,996.780000,23.740000
233,996.770000,23.740000
234,996.770000,23.740000
235,996.770000,23.750000
236,996.770000,23.750000
237,996.770000,23.760000
238,996.770000,23.770000
239,996.770000,23.770000
240,996.760000,23.780000
241,996.770000,23.780000
242,996.770000,23.790000
243,996.770000,23.800000
244,996.770000,23.810000
245,996.760000,23.810000
246,996.760000,23.810000
247,996.760000,23.820000
248,996.760000,23.830000
249,996.760000,23.830000
250,996.760000,23.840000
251,996.760000,23.840000
252,996.760000,23.860000
253,996.760000,23.860000
254,996.760000,23.860000
255,996.760000,23.870000
256,996.760000,23.880000
257,996.760000,23.880000
258,996.760000,23.880000
259,996.760000,23.880000
260,996.760000,23.890000
261,996.760000,23.900000
262,996.760000,23.900000
263,996.760000,23.910000
264,996.760000,23.920000
265,996.760000,23.920000
266,996.760000,23.930000
267,996.760000,23.940000
268,996.750000,23.940000
269,996.750000,23.940000
270,996.750000,23.960000
271,996.750000,23.960000
272,996.750000,23.960000
273,996.750000,23.970000
274,996.750000,23.970000
275,996.750000,23.970000
276,996.750000,23.980000
277,996.750000,23.990000
278,996.750000,23.990000
279,996.750000,24.000000
280,996.750000,24.000000
281,996.750000,24.010000
282,996.750000,24.020000
283,996.750000,24.030000
284,996.750000,24.020000
285,996.750000,24.020000
286,996.750000,24.030000
287,996.750000,24.030000
288,996.750000,24.050000
289,996.750000,24.050000
290,996.750000,24.050000
291,996.750000,24.060000
292,996.750000,24.070000
293,996.750000,24.070000
294,996.750000,24.070000
295,996.750000,24.080000
296,996.750000,24.080000
297,996.750000,24.080000
298,996.750000,24.090000
299,996.750000,24.100000
300,996.750000,24.100000
301,996.750000,24.110000
302,996.750000,24.120000
303,996.750000,24.130000
304,996.750000,24.130000
305,996.750000,24.130000
306,996.750000,24.140000
307,996.740000,24.140000
308,996.740000,24.150000
309,996.740000,24.150000
310,996.740000,24.160000
311,996.740000,24.170000
312,996.740000,24.170000
313,996.740000,24.170000
314,996.750000,24.190000
315,996.740000,24.190000
316,996.750000,24.190000
317,996.740000,24.180000
318,996.740000,24.200000
319,996.740000,24.200000
320,996.740000,24.210000
321,996.740000,24.220000
322,996.740000,24.220000
323,996.750000,24.220000
324,996.740000,24.230000
325,996.750000,24.240000
326,996.750000,24.240000
327,996.750000,24.250000
328,996.740000,24.250000
329,996.750000,24.250000
330,996.750000,24.260000
331,996.750000,24.260000
332,996.750000,24.270000
333,996.750000,24.280000
334,996.750000,24.270000
335,996.750000,24.280000
336,996.750000,24.300000
337,996.750000,24.290000
338,996.750000,24.300000
339,996.750000,24.300000
340,996.750000,24.300000
341,996.740000,24.310000
342,996.750000,24.320000
343,996.750000,24.320000
344,996.750000,24.330000
345,996.750000,24.330000
346,996.750000,24.330000
347,996.750000,24.350000
348,996.740000,24.340000
349,996.750000,24.350000
350,996.740000,24.350000
351,996.740000,24.350000
352,996.740000,24.360000
353,996.740000,24.370000
354,996.740000,24.380000
355,996.740000,24.370000
356,996.740000,24.380000
357,996.740000,24.380000
358,996.740000,24.390000
359,996.740000,24.400000
360,996.740000,24.400000
361,996.740000,24.410000
362,996.740000,24.410000
363,996.740000,24.420000
364,996.730000,24.420000
365,996.740000,24.420000
366,996.730000,24.430000
367,996.730000,24.430000
368,996.730000,24.430000
369,996.730000,24.440000
370,996.730000,24.440000
371,996.730000,24.450000
372,996.730000,24.460000
373,996.730000,24.460000
374,996.730000,24.470000
375,996.730000,24.470000
376,996.730000,24.470000
377,996.730000,24.480000
378,996.730000,24.480000
379,996.720000,24.490000
380,996.730000,24.490000
381,996.730000,24.490000
382,996.720000,24.500000
383,996.720000,24.510000
384,996.720000,24.510000
385,996.720000,24.510000
386,996.720000,24.510000
387,996.720000,24.520000
388,996.720000,24.510000
389,996.720000,24.520000
390,996.720000,24.520000
391,996.720000,24.530000
392,996.720000,24.530000
393,996.720000,24.540000
394,996.710000,24.530000
395,996.710000,24.540000
396,996.710000,24.540000
397,996.710000,24.550000
398,996.710000,24.550000
399,996.710000,24.550000
400,996.710000,24.560000
401,996.710000,24.570000
402,996.710000,24.580000
403,996.710000,24.580000
404,996.710000,24.580000
405,996.710000,24.590000
406,996.710000,24.580000
407,996.710000,24.590000
408,996.710000,24.590000
409,996.710000,24.600000
410,996.710000,24.600000
411,996.700000,24.610000
412,996.700000,24.620000
413,996.700000,24.630000
414,996.700000,24.630000
415,996.700000,24.640000
416,996.700000,24.630000
417,996.700000,24.650000
418,996.700000,24.660000
419,996.700000,24.660000
420,996.700000,24.660000
421,996.700000,24.670000
422,996.700000,24.670000
423,996.700000,24.680000
424,996.700000,24.690000
425,996.700000,24.690000
426,996.700000,24.690000
427,996.690000,24.690000
428,996.690000,24.690000
429,996.690000,24.710000
430,996.690000,24.700000
431,996.690000,24.710000
432,996.690000,24.710000
433,996.690000,24.720000
434,996.690000,24.720000
435,996.690000,24.730000
436,996.690000,24.740000
437,996.690000,24.740000
438,996.690000,24.740000
439,996.690000,24.730000
440,996.690000,24.740000
441,996.690000,24.740000
442,996.690000,24.750000
443,996.690000,24.750000
444,996.690000,24.750000
445,996.680000,24.750000
446,996.690000,24.770000
447,996.690000,24.770000
448,996.690000,24.780000
449,996.690000,24.780000
450,996.690000,24.790000
451,996.690000,24.790000
452,996.690000,24.780000
453,996.690000,24.800000
454,996.690000,24.790000
455,996.690000,24.800000
456,996.680000,24.810000
457,996.690000,24.810000
458,996.690000,24.820000
459,996.690000,24.830000
460,996.680000,24.830000
461,996.680000,24.830000
462,996.680000,24.830000
463,996.680000,24.840000
464,996.680000,24.840000
465,996.680000,24.850000
466,996.680000,24.850000
467,996.680000,24.850000
468,996.680000,24.850000
469,996.680000,24.860000
470,996.680000,24.860000
471,996.680000,24.870000
472,996.680000,24.870000
473,996.680000,24.870000
474,996.670000,24.870000
475,996.670000,24.880000
476,996.670000,24.890000
477,996.670000,24.890000
478,996.670000,24.890000
479,996.670000,24.890000
480,996.670000,24.910000
481,996.670000,24.910000
482,996.670000,24.910000
483,996.670000,24.920000
484,996.670000,24.920000
485,996.670000,24.920000
486,996.670000,24.920000
487,996.670000,24.920000
488,996.670000,24.930000
489,996.670000,24.930000
490,996.670000,24.940000
491,996.670000,24.940000
492,996.670000,24.950000
493,996.670000,24.950000
494,996.660000,24.950000
495,996.660000,24.950000
496,996.660000,24.960000
497,996.660000,24.970000
498,996.660000,24.970000
499,996.660000,24.970000
500,996.660000,24.980000
501,996.660000,24.980000
502,996.660000,24.980000
503,996.660000,24.990000
504,996.660000,24.990000
505,996.660000,24.990000
506,996.660000,25.000000
507,996.660000,25.010000
508,996.650000,25.000000
509,996.660000,25.010000
510,996.650000,25.010000
511,996.650000,25.010000
512,996.650000,25.020000
513,996.650000,25.010000
514,996.650000,25.020000
515,996.650000,25.030000
516,996.650000,25.020000
517,996.650000,25.020000
518,996.650000,25.040000
519,996.650000,25.030000
520,996.650000,25.040000
521,996.650000,25.050000
522,996.640000,25.050000
523,996.640000,25.050000
524,996.650000,25.050000
525,996.650000,25.060000
526,996.640000,25.060000
527,996.640000,25.060000
528,996.640000,25.060000
529,996.640000,25.070000
530,996.640000,25.070000
531,996.640000,25.080000
532,996.640000,25.080000
533,996.640000,25.080000
534,996.640000,25.080000
535,996.630000,25.080000
536,996.640000,25.090000
537,996.640000,25.090000
538,996.630000,25.100000
539,996.630000,25.100000
540,996.640000,25.120000
541,996.630000,25.110000
542,996.630000,25.120000
543,996.630000,25.120000
544,996.630000,25.120000
545,996.630000,25.130000
546,996.630000,25.130000
547,996.630000,25.140000
548,996.630000,25.140000
549,996.630000,25.130000
550,996.630000,25.150000
551,996.630000,25.140000
552,996.620000,25.150000
553,996.620000,25.150000
554,996.620000,25.160000
555,996.620000,25.160000
556,996.620000,25.160000
557,996.620000,25.160000
558,996.620000,25.160000
559,996.620000,25.170000
560,996.620000,25.170000
561,996.620000,25.190000
562,996.620000,25.190000
563,996.620000,25.190000
564,996.620000,25.190000
565,996.610000,25.190000
566,996.610000,25.200000
567,996.610000,25.190000
568,996.610000,25.190000
569,996.610000,25.200000
570,996.610000,25.210000
571,996.610000,25.210000
572,996.610000,25.210000
573,996.610000,25.220000
574,996.600000,25.220000
575,996.600000,25.220000
576,996.600000,25.220000
577,996.600000,25.230000
578,996.600000,25.230000
579,996.600000,25.220000
580,996.600000,25.240000
581,996.600000,25.240000
582,996.600000,25.250000
583,996.590000,25.250000
584,996.590000,25.250000
585,996.590000,25.240000
586,996.590000,25.250000
587,996.590000,25.250000
588,996.590000,25.260000
589,996.590000,25.260000
590,996.590000,25.260000
591,996.590000,25.260000
592,996.580000,25.260000
593,996.580000,25.270000
594,996.580000,25.270000
595,996.580000,25.260000
596,996.580000,25.270000
597,996.580000,25.280000
598,996.580000,25.270000
599,996.580000,25.280000
600,996.580000,25.290000
601,996.580000,25.290000
602,996.580000,25.290000
603,996.580000,25.290000
604,996.580000,25.300000
605,996.580000,25.290000
606,996.570000,25.300000
607,996.570000,25.310000
608,996.570000,25.310000
609,996.570000,25.310000
610,996.570000,25.310000
611,996.570000,25.320000
612,996.570000,25.320000
613,996.570000,25.320000
614,996.570000,25.330000
615,996.570000,25.330000
616,996.570000,25.330000
617,996.570000,25.340000
618,996.560000,25.330000
619,996.560000,25.340000
620,996.570000,25.350000
621,996.560000,25.360000
622,996.560000,25.350000
623,996.560000,25.350000
624,996.560000,25.350000
625,996.560000,25.360000
626,996.560000,25.370000
627,996.560000,25.370000
628,996.560000,25.370000
629,996.560000,25.370000
630,996.560000,25.380000
631,996.560000,25.380000
632,996.560000,25.380000
633,996.560000,25.380000
634,996.550000,25.380000
635,996.550000,25.390000
636,996.550000,25.390000
637,996.550000,25.400000
638,996.550000,25.400000
639,996.550000,25.400000
640,996.550000,25.410000
641,996.550000,25.400000
642,996.550000,25.410000
643,996.550000,25.420000
644,996.540000,25.410000
645,996.540000,25.420000
646,996.540000,25.420000
647,996.550000,25.430000
648,996.540000,25.430000
649,996.540000,25.430000
650,996.540000,25.440000
651,996.540000,25.440000
652,996.540000,25.440000
653,996.540000,25.430000
654,996.540000,25.440000
655,996.540000,25.440000
656,996.540000,25.440000
657,996.530000,25.450000
658,996.530000,25.440000
659,996.530000,25.440000
660,996.530000,25.440000
661,996.530000,25.450000
662,996.530000,25.460000
663,996.530000,25.460000
664,996.530000,25.470000
665,996.530000,25.470000
666,996.530000,25.470000
667,996.530000,25.470000
668,996.530000,25.470000
669,996.530000,25.470000
670,996.530000,25.470000
671,996.530000,25.470000
672,996.530000,25.470000
673,996.520000,25.470000
674,996.530000,25.480000
675,996.520000,25.480000
676,996.520000,25.480000
677,996.520000,25.490000
678,996.520000,25.480000
679,996.520000,25.490000
680,996.520000,25.500000
681,996.520000,25.500000
682,996.520000,25.510000
683,996.520000,25.500000
684,996.520000,25.510000
685,996.520000,25.510000
686,996.520000,25.510000
687,996.520000,25.510000
688,996.520000,25.520000
689,996.520000,25.520000
690,996.520000,25.520000
691,996.520000,25.520000
692,996.520000,25.510000
693,996.520000,25.530000
694,996.520000,25.520000
695,996.520000,25.530000
696,996.520000,25.520000
697,996.520000,25.530000
698,996.520000,25.540000
699,996.520000,25.540000
700,996.520000,25.540000
701,996.520000,25.540000
702,996.520000,25.550000
703,996.520000,25.560000
704,996.520000,25.560000
705,996.510000,25.570000
706,996.510000,25.570000
707,996.510000,25.570000
708,996.510000,25.570000
709,996.510000,25.570000
710,996.510000,25.570000
711,996.510000,25.570000
712,996.510000,25.580000
713,996.510000,25.580000
714,996.500000,25.580000
715,996.500000,25.580000
716,996.510000,25.590000
717,996.510000,25.600000
718,996.510000,25.610000
719,996.510000,25.620000
720,996.500000,25.610000
721,996.500000,25.610000
722,996.510000,25.620000
723,996.500000,25.620000
724,996.500000,25.620000
725,996.500000,25.630000
726,996.500000,25.630000
727,996.500000,25.630000
728,996.500000,25.630000
729,996.500000,25.640000
730,996.500000,25.640000
731,996.500000,25.640000
732,996.500000,25.640000
733,996.500000,25.650000
